name;symbolic-runtime;symbolic-parsing;symbolic-execution
automata/03/pre.lsta;0.09; 0.00154221; 0.097871
automata/04/pre.lsta;0.2; 0.00124929; 0.204377
automata/05/pre.lsta;0.4; 0.0128721; 0.398697
automata/06/pre.lsta;0.97; 0.00163263; 0.979516
automata/07/pre.lsta;1.76; 0.00240036; 1.76116
automata/08/pre.lsta;3.62; 0.0128011; 3.66628
automata/09/pre.lsta;7.9; 0.00244485; 7.96898
automata/10/pre.lsta;18.44; 0.0116853; 18.7631
automata/11/pre.lsta;47.54; 0.0032803; 51.4455
automata/12/pre.lsta;TO;TO;TO
automata/13/pre.lsta;TO;TO;TO
automata/14/pre.lsta;TO;TO;TO
automata/15/pre.lsta;ERR;ERR;ERR
automata/16/pre.lsta;ERR;ERR;ERR
automata/17/pre.lsta;TO;TO;TO
automata/18/pre.lsta;TO;TO;TO
automata/19/pre.lsta;TO;TO;TO
automata/20/pre.lsta;TO;TO;TO
automata/21/pre.lsta;TO;TO;TO
automata/22/pre.lsta;TO;TO;TO
automata/23/pre.lsta;TO;TO;TO
automata/24/pre.lsta;TO;TO;TO
